snr,rep,MSE
2.0,92,10.959689151958367
2.0,93,11.298964557833356
2.0,94,15.681253359001799
2.0,95,7.180499981045919
2.0,96,9.343275352510654
2.0,97,7.450045134568619
2.0,98,3.6941629653895096
2.0,99,7.649526825044131
3.0,0,10.286546484384589
3.0,1,6.853276285148713
3.0,2,6.6974646601217955
3.0,3,5.354994554408733
3.0,4,12.392197314314727
3.0,5,5.43723368603521
3.0,6,8.755428012800213
3.0,7,9.681523621685239
3.0,8,10.605725087448882
3.0,9,7.274758034875436
3.0,10,9.160132391342213
3.0,11,7.817352476345386
3.0,12,7.630130837889683
3.0,13,7.563609793826445
3.0,14,7.651091325500422
3.0,15,6.354264312929297
3.0,16,6.682520511373132
3.0,17,6.824432326855653
3.0,18,6.2079077811326755
3.0,19,5.433936415410469
3.0,20,5.358126243701708
3.0,21,6.949880119405085
3.0,22,5.47853208459163
3.0,23,6.060256459471767
3.0,24,8.69491992241753
3.0,25,6.260610937750935
3.0,26,6.616111236164519
3.0,27,9.55583130381946
3.0,28,3.5378190880741656
3.0,29,10.075454694334399
3.0,30,4.12730990784782
3.0,31,5.2225288028091095
3.0,32,6.464514125493195
3.0,33,5.500107445878897
3.0,34,3.761468369579666
3.0,35,11.334641833800179
3.0,36,7.07360433001936
3.0,37,2.9531245621013276
3.0,38,5.751849759842704
3.0,39,5.370238874857952
3.0,40,5.578681363067866
3.0,41,13.541550002866847
3.0,42,7.107161825021994
3.0,43,4.087942203377682
3.0,44,5.586001428092974
3.0,45,9.581224542949544
3.0,46,10.089983808540909
3.0,47,6.288873209044153
3.0,48,4.284264369117339
3.0,49,7.4739097670867345
3.0,50,7.525163323664641
3.0,51,8.596457168330351
3.0,52,4.7348508390446336
3.0,53,4.95609142005923
3.0,54,6.075226004430793
3.0,55,8.542099437238655
3.0,56,15.272024857696826
3.0,57,5.030406981093672
3.0,58,11.001855355807628
3.0,59,5.925736843458886
3.0,60,10.058613299078218
3.0,61,7.2366857189437
3.0,62,6.884447091800937
3.0,63,10.105992525860074
3.0,64,5.271805872106756
3.0,65,5.792245111471228
3.0,66,5.123036770465179
3.0,67,5.575993871284079
3.0,68,5.491650065802079
3.0,69,8.894081237581908
3.0,70,7.047539258600855
3.0,71,6.167720795366608
3.0,72,8.94616874222064
3.0,73,6.301014437420294
3.0,74,11.516573466617217
3.0,75,11.639927333017347
3.0,76,6.399998605710347
3.0,77,5.113513476567241
3.0,78,6.013218613604713
3.0,79,6.647649636517682
3.0,80,5.483090747916476
3.0,81,7.091070149960472
3.0,82,10.756656680451409
3.0,83,5.024072959393195
3.0,84,5.617414442917372
3.0,85,8.489173024652958
3.0,86,7.434187853707593
3.0,87,7.541324040578027
