assignment,label,rep,MSE
nonlinear,Nonlinear logit,18,5.307883169073671
nonlinear,Nonlinear logit,19,3.9349441747335425
nonlinear,Nonlinear logit,20,6.231870055304098
nonlinear,Nonlinear logit,21,6.395781529263064
nonlinear,Nonlinear logit,22,3.781433924357118
nonlinear,Nonlinear logit,23,4.9019286017546495
nonlinear,Nonlinear logit,24,5.279923224216833
nonlinear,Nonlinear logit,25,2.9658403462105944
nonlinear,Nonlinear logit,26,4.978725753612843
nonlinear,Nonlinear logit,27,5.654399141440694
nonlinear,Nonlinear logit,28,4.266041140585351
nonlinear,Nonlinear logit,29,4.865442067750196
nonlinear,Nonlinear logit,30,4.1165974327918375
nonlinear,Nonlinear logit,31,4.586469373793298
nonlinear,Nonlinear logit,32,4.6083880378612845
nonlinear,Nonlinear logit,33,6.764440774372593
nonlinear,Nonlinear logit,34,6.577617034440917
nonlinear,Nonlinear logit,35,3.6412039309177233
nonlinear,Nonlinear logit,36,7.035717190897607
nonlinear,Nonlinear logit,37,2.7424307647412025
nonlinear,Nonlinear logit,38,5.033011112182167
nonlinear,Nonlinear logit,39,3.3441953345892608
nonlinear,Nonlinear logit,40,4.760034268259122
nonlinear,Nonlinear logit,41,5.521755690321897
nonlinear,Nonlinear logit,42,5.088834471202933
nonlinear,Nonlinear logit,43,2.7842502507683866
nonlinear,Nonlinear logit,44,3.0123735043312503
nonlinear,Nonlinear logit,45,5.490839773056485
nonlinear,Nonlinear logit,46,6.549363857406096
nonlinear,Nonlinear logit,47,3.3184077979730726
nonlinear,Nonlinear logit,48,4.743259368539863
nonlinear,Nonlinear logit,49,4.905189431115821
nonlinear,Nonlinear logit,50,3.0646357080999813
nonlinear,Nonlinear logit,51,3.748223281904675
nonlinear,Nonlinear logit,52,4.121249644447899
nonlinear,Nonlinear logit,53,5.344310299487035
nonlinear,Nonlinear logit,54,7.213114761650842
nonlinear,Nonlinear logit,55,4.679136044260044
nonlinear,Nonlinear logit,56,7.994215497875639
nonlinear,Nonlinear logit,57,7.3812686680767134
nonlinear,Nonlinear logit,58,7.451150749576427
nonlinear,Nonlinear logit,59,5.212766469060495
nonlinear,Nonlinear logit,60,7.081729768740383
nonlinear,Nonlinear logit,61,6.388421261893304
nonlinear,Nonlinear logit,62,3.0694731642363893
nonlinear,Nonlinear logit,63,4.07963268354848
nonlinear,Nonlinear logit,64,4.414554829783781
nonlinear,Nonlinear logit,65,3.88591705090344
nonlinear,Nonlinear logit,66,4.831864328450913
nonlinear,Nonlinear logit,67,5.558038418629752
nonlinear,Nonlinear logit,68,4.861615715557064
nonlinear,Nonlinear logit,69,4.666962566589678
nonlinear,Nonlinear logit,70,4.6787892188318265
nonlinear,Nonlinear logit,71,5.514138701747147
nonlinear,Nonlinear logit,72,5.691675733897462
nonlinear,Nonlinear logit,73,6.435160058031811
nonlinear,Nonlinear logit,74,6.705088241546033
nonlinear,Nonlinear logit,75,4.499321899351474
nonlinear,Nonlinear logit,76,6.663606749029504
nonlinear,Nonlinear logit,77,2.855501601543894
nonlinear,Nonlinear logit,78,4.895720758498962
nonlinear,Nonlinear logit,79,6.205996648036702
nonlinear,Nonlinear logit,80,3.345406784843701
nonlinear,Nonlinear logit,81,4.458022310959599
nonlinear,Nonlinear logit,82,7.413822011306278
nonlinear,Nonlinear logit,83,6.740602738367416
nonlinear,Nonlinear logit,84,5.737257178644478
nonlinear,Nonlinear logit,85,7.294986508283462
nonlinear,Nonlinear logit,86,5.368349582369345
nonlinear,Nonlinear logit,87,3.4052448274598976
nonlinear,Nonlinear logit,88,5.314164786825779
nonlinear,Nonlinear logit,89,2.7110359568555484
nonlinear,Nonlinear logit,90,4.67619036456732
nonlinear,Nonlinear logit,91,7.1302198793261615
nonlinear,Nonlinear logit,92,5.958401288252696
nonlinear,Nonlinear logit,93,5.442062009362349
nonlinear,Nonlinear logit,94,3.321541045254124
nonlinear,Nonlinear logit,95,4.642530702555218
nonlinear,Nonlinear logit,96,5.784646962252687
nonlinear,Nonlinear logit,97,3.927126710397294
nonlinear,Nonlinear logit,98,2.99852896572786
nonlinear,Nonlinear logit,99,6.795737424913173
trig,Trigonometric,0,6.873166211638392
trig,Trigonometric,1,3.12450499938592
trig,Trigonometric,2,5.104341846145085
trig,Trigonometric,3,5.1585951566712716
trig,Trigonometric,4,4.161517745955465
trig,Trigonometric,5,2.1412362505045777
trig,Trigonometric,6,6.6910396578591955
trig,Trigonometric,7,12.128571925677017
trig,Trigonometric,8,3.973831115288149
trig,Trigonometric,9,3.3545948055100956
trig,Trigonometric,10,6.113763212323626
trig,Trigonometric,11,7.961008836153677
trig,Trigonometric,12,4.03330458653501
trig,Trigonometric,13,4.470512637382499
trig,Trigonometric,14,2.8093176502485666
trig,Trigonometric,15,6.84195114127777
trig,Trigonometric,16,2.68058884773505
trig,Trigonometric,17,2.8360618730627176
trig,Trigonometric,18,4.6553949954646265
trig,Trigonometric,19,5.301548561323349
trig,Trigonometric,20,2.699719794245024
trig,Trigonometric,21,5.1159657204431
trig,Trigonometric,22,4.364507298722619
trig,Trigonometric,23,5.471462271847837
trig,Trigonometric,24,7.011998999573272
trig,Trigonometric,25,4.126605194500876
trig,Trigonometric,26,4.232035164970487
